borough,neighborhood,listing_count,month,real_avg_occupancy_rate,neighborhood_seasonality_amplitude_weight,SIMULATED_price_seasonal_index,data_type
Bronx,Baychester,3,Sep,0.0889,0.7855,1.1968,SIMULATED_PROOF_OF_CONCEPT
Bronx,Baychester,3,Oct,0.0,0.7855,1.1466,SIMULATED_PROOF_OF_CONCEPT
Bronx,Baychester,3,Nov,0.1556,0.7855,1.0846,SIMULATED_PROOF_OF_CONCEPT
Bronx,Baychester,3,Dec,0.0,0.7855,1.1541,SIMULATED_PROOF_OF_CONCEPT
Bronx,Belmont,4,Jan,0.0242,0.8753,0.7667,SIMULATED_PROOF_OF_CONCEPT
Bronx,Belmont,4,Feb,0.0,0.8753,0.7499,SIMULATED_PROOF_OF_CONCEPT
Bronx,Belmont,4,Mar,0.0,0.8753,0.9041,SIMULATED_PROOF_OF_CONCEPT
Bronx,Belmont,4,Apr,0.0,0.8753,0.9946,SIMULATED_PROOF_OF_CONCEPT
Bronx,Belmont,4,May,0.0,0.8753,1.0751,SIMULATED_PROOF_OF_CONCEPT
Bronx,Belmont,4,Jun,0.3833,0.8753,1.0444,SIMULATED_PROOF_OF_CONCEPT
Bronx,Belmont,4,Jul,0.2419,0.8753,0.9217,SIMULATED_PROOF_OF_CONCEPT
Bronx,Belmont,4,Aug,0.1855,0.8753,0.8948,SIMULATED_PROOF_OF_CONCEPT
Bronx,Belmont,4,Sep,0.1083,0.8753,1.2193,SIMULATED_PROOF_OF_CONCEPT
Bronx,Belmont,4,Oct,0.0726,0.8753,1.1633,SIMULATED_PROOF_OF_CONCEPT
Bronx,Belmont,4,Nov,0.025,0.8753,1.0943,SIMULATED_PROOF_OF_CONCEPT
Bronx,Belmont,4,Dec,0.0726,0.8753,1.1718,SIMULATED_PROOF_OF_CONCEPT
Bronx,Bronxdale,3,Jan,0.3333,0.611,0.8372,SIMULATED_PROOF_OF_CONCEPT
Bronx,Bronxdale,3,Feb,0.3333,0.611,0.8254,SIMULATED_PROOF_OF_CONCEPT
Bronx,Bronxdale,3,Mar,0.3333,0.611,0.933,SIMULATED_PROOF_OF_CONCEPT
Bronx,Bronxdale,3,Apr,0.3333,0.611,0.9962,SIMULATED_PROOF_OF_CONCEPT
Bronx,Bronxdale,3,May,0.3333,0.611,1.0524,SIMULATED_PROOF_OF_CONCEPT
Bronx,Bronxdale,3,Jun,0.6667,0.611,1.031,SIMULATED_PROOF_OF_CONCEPT
Bronx,Bronxdale,3,Jul,0.9785,0.611,0.9453,SIMULATED_PROOF_OF_CONCEPT
Bronx,Bronxdale,3,Aug,0.6129,0.611,0.9266,SIMULATED_PROOF_OF_CONCEPT
Bronx,Bronxdale,3,Sep,0.6667,0.611,1.1531,SIMULATED_PROOF_OF_CONCEPT
Bronx,Bronxdale,3,Oct,0.6667,0.611,1.114,SIMULATED_PROOF_OF_CONCEPT
Bronx,Bronxdale,3,Nov,0.6667,0.611,1.0658,SIMULATED_PROOF_OF_CONCEPT
Bronx,Bronxdale,3,Dec,0.5699,0.611,1.1199,SIMULATED_PROOF_OF_CONCEPT
Bronx,Castle Hill,5,Jan,0.2,0.6131,0.8366,SIMULATED_PROOF_OF_CONCEPT
Bronx,Castle Hill,5,Feb,0.2,0.6131,0.8248,SIMULATED_PROOF_OF_CONCEPT
Bronx,Castle Hill,5,Mar,0.2,0.6131,0.9328,SIMULATED_PROOF_OF_CONCEPT
Bronx,Castle Hill,5,Apr,0.2,0.6131,0.9962,SIMULATED_PROOF_OF_CONCEPT
Bronx,Castle Hill,5,May,0.2,0.6131,1.0526,SIMULATED_PROOF_OF_CONCEPT
Bronx,Castle Hill,5,Jun,0.44,0.6131,1.0311,SIMULATED_PROOF_OF_CONCEPT
Bronx,Castle Hill,5,Jul,0.0774,0.6131,0.9452,SIMULATED_PROOF_OF_CONCEPT
Bronx,Castle Hill,5,Aug,0.2129,0.6131,0.9263,SIMULATED_PROOF_OF_CONCEPT
Bronx,Castle Hill,5,Sep,0.1667,0.6131,1.1536,SIMULATED_PROOF_OF_CONCEPT
Bronx,Castle Hill,5,Oct,0.2,0.6131,1.1144,SIMULATED_PROOF_OF_CONCEPT
Bronx,Castle Hill,5,Nov,0.2,0.6131,1.066,SIMULATED_PROOF_OF_CONCEPT
Bronx,Castle Hill,5,Dec,0.2,0.6131,1.1203,SIMULATED_PROOF_OF_CONCEPT
Bronx,City Island,8,Jan,0.375,0.5821,0.8449,SIMULATED_PROOF_OF_CONCEPT
Bronx,City Island,8,Feb,0.375,0.5821,0.8337,SIMULATED_PROOF_OF_CONCEPT
Bronx,City Island,8,Mar,0.379,0.5821,0.9362,SIMULATED_PROOF_OF_CONCEPT
Bronx,City Island,8,Apr,0.3833,0.5821,0.9964,SIMULATED_PROOF_OF_CONCEPT
Bronx,City Island,8,May,0.375,0.5821,1.0499,SIMULATED_PROOF_OF_CONCEPT
Bronx,City Island,8,Jun,0.6917,0.5821,1.0295,SIMULATED_PROOF_OF_CONCEPT
Bronx,City Island,8,Jul,0.4556,0.5821,0.9479,SIMULATED_PROOF_OF_CONCEPT
Bronx,City Island,8,Aug,0.5887,0.5821,0.9301,SIMULATED_PROOF_OF_CONCEPT
Bronx,City Island,8,Sep,0.3458,0.5821,1.1458,SIMULATED_PROOF_OF_CONCEPT
Bronx,City Island,8,Oct,0.2823,0.5821,1.1086,SIMULATED_PROOF_OF_CONCEPT
Bronx,City Island,8,Nov,0.3167,0.5821,1.0627,SIMULATED_PROOF_OF_CONCEPT
Bronx,City Island,8,Dec,0.3629,0.5821,1.1142,SIMULATED_PROOF_OF_CONCEPT
Bronx,Claremont Village,12,Jan,0.3387,0.5796,0.8455,SIMULATED_PROOF_OF_CONCEPT
Bronx,Claremont Village,12,Feb,0.3333,0.5796,0.8344,SIMULATED_PROOF_OF_CONCEPT
Bronx,Claremont Village,12,Mar,0.4435,0.5796,0.9365,SIMULATED_PROOF_OF_CONCEPT
Bronx,Claremont Village,12,Apr,0.5,0.5796,0.9964,SIMULATED_PROOF_OF_CONCEPT
Bronx,Claremont Village,12,May,0.5,0.5796,1.0497,SIMULATED_PROOF_OF_CONCEPT
Bronx,Claremont Village,12,Jun,0.6639,0.5796,1.0294,SIMULATED_PROOF_OF_CONCEPT
Bronx,Claremont Village,12,Jul,0.6909,0.5796,0.9481,SIMULATED_PROOF_OF_CONCEPT
Bronx,Claremont Village,12,Aug,0.3575,0.5796,0.9304,SIMULATED_PROOF_OF_CONCEPT
Bronx,Claremont Village,12,Sep,0.4305,0.5796,1.1452,SIMULATED_PROOF_OF_CONCEPT
Bronx,Claremont Village,12,Oct,0.3844,0.5796,1.1082,SIMULATED_PROOF_OF_CONCEPT
Bronx,Claremont Village,12,Nov,0.35,0.5796,1.0624,SIMULATED_PROOF_OF_CONCEPT
Bronx,Claremont Village,12,Dec,0.3575,0.5796,1.1137,SIMULATED_PROOF_OF_CONCEPT
Bronx,Clason Point,8,Jan,0.0,0.7483,0.8006,SIMULATED_PROOF_OF_CONCEPT
Bronx,Clason Point,8,Feb,0.0,0.7483,0.7862,SIMULATED_PROOF_OF_CONCEPT
Bronx,Clason Point,8,Mar,0.1694,0.7483,0.918,SIMULATED_PROOF_OF_CONCEPT
Bronx,Clason Point,8,Apr,0.25,0.7483,0.9954,SIMULATED_PROOF_OF_CONCEPT
Bronx,Clason Point,8,May,0.25,0.7483,1.0642,SIMULATED_PROOF_OF_CONCEPT
Bronx,Clason Point,8,Jun,0.5917,0.7483,1.038,SIMULATED_PROOF_OF_CONCEPT
Bronx,Clason Point,8,Jul,0.871,0.7483,0.9331,SIMULATED_PROOF_OF_CONCEPT
Bronx,Clason Point,8,Aug,0.6935,0.7483,0.9101,SIMULATED_PROOF_OF_CONCEPT
Bronx,Clason Point,8,Sep,0.4167,0.7483,1.1875,SIMULATED_PROOF_OF_CONCEPT
Bronx,Clason Point,8,Oct,0.25,0.7483,1.1396,SIMULATED_PROOF_OF_CONCEPT
Bronx,Clason Point,8,Nov,0.1958,0.7483,1.0806,SIMULATED_PROOF_OF_CONCEPT
Bronx,Clason Point,8,Dec,0.125,0.7483,1.1468,SIMULATED_PROOF_OF_CONCEPT
Bronx,Co-op City,1,Jan,0.0,1.0762,0.7132,SIMULATED_PROOF_OF_CONCEPT
Bronx,Co-op City,1,Feb,0.0,1.0762,0.6925,SIMULATED_PROOF_OF_CONCEPT
Bronx,Co-op City,1,Mar,0.0,1.0762,0.882,SIMULATED_PROOF_OF_CONCEPT
Bronx,Co-op City,1,Apr,0.0,1.0762,0.9933,SIMULATED_PROOF_OF_CONCEPT
Bronx,Co-op City,1,May,0.0,1.0762,1.0923,SIMULATED_PROOF_OF_CONCEPT
Bronx,Co-op City,1,Jun,0.5667,1.0762,1.0546,SIMULATED_PROOF_OF_CONCEPT
Bronx,Co-op City,1,Jul,0.3548,1.0762,0.9037,SIMULATED_PROOF_OF_CONCEPT
Bronx,Co-op City,1,Aug,0.9677,1.0762,0.8707,SIMULATED_PROOF_OF_CONCEPT
Bronx,Co-op City,1,Sep,0.0,1.0762,1.2696,SIMULATED_PROOF_OF_CONCEPT
Bronx,Co-op City,1,Oct,0.0,1.0762,1.2008,SIMULATED_PROOF_OF_CONCEPT
Bronx,Co-op City,1,Nov,0.0,1.0762,1.1159,SIMULATED_PROOF_OF_CONCEPT
Bronx,Co-op City,1,Dec,0.0,1.0762,1.2112,SIMULATED_PROOF_OF_CONCEPT
Bronx,Concourse,14,Jan,0.3433,0.5816,0.845,SIMULATED_PROOF_OF_CONCEPT
Bronx,Concourse,14,Feb,0.3571,0.5816,0.8338,SIMULATED_PROOF_OF_CONCEPT
Bronx,Concourse,14,Mar,0.4493,0.5816,0.9362,SIMULATED_PROOF_OF_CONCEPT
Bronx,Concourse,14,Apr,0.5,0.5816,0.9964,SIMULATED_PROOF_OF_CONCEPT
Bronx,Concourse,14,May,0.5,0.5816,1.0499,SIMULATED_PROOF_OF_CONCEPT
Bronx,Concourse,14,Jun,0.6833,0.5816,1.0295,SIMULATED_PROOF_OF_CONCEPT
Bronx,Concourse,14,Jul,0.576,0.5816,0.948,SIMULATED_PROOF_OF_CONCEPT
Bronx,Concourse,14,Aug,0.265,0.5816,0.9301,SIMULATED_PROOF_OF_CONCEPT
Bronx,Concourse,14,Sep,0.3762,0.5816,1.1457,SIMULATED_PROOF_OF_CONCEPT
Bronx,Concourse,14,Oct,0.3548,0.5816,1.1085,SIMULATED_PROOF_OF_CONCEPT
Bronx,Concourse,14,Nov,0.3,0.5816,1.0627,SIMULATED_PROOF_OF_CONCEPT
Bronx,Concourse,14,Dec,0.4309,0.5816,1.1141,SIMULATED_PROOF_OF_CONCEPT
Bronx,Concourse Village,8,Jan,0.2581,0.6162,0.8358,SIMULATED_PROOF_OF_CONCEPT
Bronx,Concourse Village,8,Feb,0.25,0.6162,0.8239,SIMULATED_PROOF_OF_CONCEPT
Bronx,Concourse Village,8,Mar,0.25,0.6162,0.9324,SIMULATED_PROOF_OF_CONCEPT
Bronx,Concourse Village,8,Apr,0.25,0.6162,0.9962,SIMULATED_PROOF_OF_CONCEPT
Bronx,Concourse Village,8,May,0.25,0.6162,1.0529,SIMULATED_PROOF_OF_CONCEPT
Bronx,Concourse Village,8,Jun,0.6167,0.6162,1.0313,SIMULATED_PROOF_OF_CONCEPT
Bronx,Concourse Village,8,Jul,0.5202,0.6162,0.9449,SIMULATED_PROOF_OF_CONCEPT
Bronx,Concourse Village,8,Aug,0.2984,0.6162,0.926,SIMULATED_PROOF_OF_CONCEPT
Bronx,Concourse Village,8,Sep,0.2208,0.6162,1.1544,SIMULATED_PROOF_OF_CONCEPT
Bronx,Concourse Village,8,Oct,0.25,0.6162,1.115,SIMULATED_PROOF_OF_CONCEPT
Bronx,Concourse Village,8,Nov,0.25,0.6162,1.0664,SIMULATED_PROOF_OF_CONCEPT
Bronx,Concourse Village,8,Dec,0.2984,0.6162,1.1209,SIMULATED_PROOF_OF_CONCEPT
Bronx,East Morrisania,1,Jan,0.0,0.8464,0.7744,SIMULATED_PROOF_OF_CONCEPT
Bronx,East Morrisania,1,Feb,0.0,0.8464,0.7581,SIMULATED_PROOF_OF_CONCEPT
Bronx,East Morrisania,1,Mar,0.0,0.8464,0.9072,SIMULATED_PROOF_OF_CONCEPT
Bronx,East Morrisania,1,Apr,0.2333,0.8464,0.9947,SIMULATED_PROOF_OF_CONCEPT
Bronx,East Morrisania,1,May,0.0,0.8464,1.0726,SIMULATED_PROOF_OF_CONCEPT
Bronx,East Morrisania,1,Jun,0.3,0.8464,1.043,SIMULATED_PROOF_OF_CONCEPT
Bronx,East Morrisania,1,Jul,0.4839,0.8464,0.9243,SIMULATED_PROOF_OF_CONCEPT
Bronx,East Morrisania,1,Aug,0.1935,0.8464,0.8983,SIMULATED_PROOF_OF_CONCEPT
Bronx,East Morrisania,1,Sep,0.7,0.8464,1.2121,SIMULATED_PROOF_OF_CONCEPT
Bronx,East Morrisania,1,Oct,0.2258,0.8464,1.1579,SIMULATED_PROOF_OF_CONCEPT
Bronx,East Morrisania,1,Nov,0.1,0.8464,1.0912,SIMULATED_PROOF_OF_CONCEPT
Bronx,East Morrisania,1,Dec,0.0,0.8464,1.1661,SIMULATED_PROOF_OF_CONCEPT
Bronx,Eastchester,1,Jan,0.0,1.5,0.6003,SIMULATED_PROOF_OF_CONCEPT
Bronx,Eastchester,1,Feb,0.0,1.5,0.5714,SIMULATED_PROOF_OF_CONCEPT
Bronx,Eastchester,1,Mar,0.0,1.5,0.8356,SIMULATED_PROOF_OF_CONCEPT
Bronx,Eastchester,1,Apr,0.0,1.5,0.9907,SIMULATED_PROOF_OF_CONCEPT
Bronx,Eastchester,1,May,0.0,1.5,1.1287,SIMULATED_PROOF_OF_CONCEPT
Bronx,Eastchester,1,Jun,0.2,1.5,1.0761,SIMULATED_PROOF_OF_CONCEPT
Bronx,Eastchester,1,Jul,0.0,1.5,0.8658,SIMULATED_PROOF_OF_CONCEPT
Bronx,Eastchester,1,Aug,0.0,1.5,0.8198,SIMULATED_PROOF_OF_CONCEPT
Bronx,Eastchester,1,Sep,0.0,1.5,1.3758,SIMULATED_PROOF_OF_CONCEPT
Bronx,Eastchester,1,Oct,0.0,1.5,1.2799,SIMULATED_PROOF_OF_CONCEPT
Bronx,Eastchester,1,Nov,0.0,1.5,1.1616,SIMULATED_PROOF_OF_CONCEPT
Bronx,Eastchester,1,Dec,0.0,1.5,1.2943,SIMULATED_PROOF_OF_CONCEPT
Bronx,Edenwald,12,Jan,0.1989,0.6279,0.8327,SIMULATED_PROOF_OF_CONCEPT
Bronx,Edenwald,12,Feb,0.1667,0.6279,0.8206,SIMULATED_PROOF_OF_CONCEPT
Bronx,Edenwald,12,Mar,0.2231,0.6279,0.9312,SIMULATED_PROOF_OF_CONCEPT
Bronx,Edenwald,12,Apr,0.2639,0.6279,0.9961,SIMULATED_PROOF_OF_CONCEPT
Bronx,Edenwald,12,May,0.2823,0.6279,1.0539,SIMULATED_PROOF_OF_CONCEPT
Bronx,Edenwald,12,Jun,0.5972,0.6279,1.0319,SIMULATED_PROOF_OF_CONCEPT
Bronx,Edenwald,12,Jul,0.7258,0.6279,0.9438,SIMULATED_PROOF_OF_CONCEPT
Bronx,Edenwald,12,Aug,0.5618,0.6279,0.9246,SIMULATED_PROOF_OF_CONCEPT
Bronx,Edenwald,12,Sep,0.5333,0.6279,1.1573,SIMULATED_PROOF_OF_CONCEPT
Bronx,Edenwald,12,Oct,0.4973,0.6279,1.1172,SIMULATED_PROOF_OF_CONCEPT
Bronx,Edenwald,12,Nov,0.3972,0.6279,1.0676,SIMULATED_PROOF_OF_CONCEPT
Bronx,Edenwald,12,Dec,0.535,0.6279,1.1232,SIMULATED_PROOF_OF_CONCEPT
Bronx,Fieldston,3,Jan,0.3441,0.5996,0.8402,SIMULATED_PROOF_OF_CONCEPT
Bronx,Fieldston,3,Feb,0.3333,0.5996,0.8287,SIMULATED_PROOF_OF_CONCEPT
Bronx,Fieldston,3,Mar,0.3333,0.5996,0.9343,SIMULATED_PROOF_OF_CONCEPT
Bronx,Fieldston,3,Apr,0.3333,0.5996,0.9963,SIMULATED_PROOF_OF_CONCEPT
Bronx,Fieldston,3,May,0.3333,0.5996,1.0514,SIMULATED_PROOF_OF_CONCEPT
Bronx,Fieldston,3,Jun,0.2444,0.5996,1.0304,SIMULATED_PROOF_OF_CONCEPT
Bronx,Fieldston,3,Jul,0.2796,0.5996,0.9464,SIMULATED_PROOF_OF_CONCEPT
Bronx,Fieldston,3,Aug,0.1398,0.5996,0.928,SIMULATED_PROOF_OF_CONCEPT
Bronx,Fieldston,3,Sep,0.3333,0.5996,1.1502,SIMULATED_PROOF_OF_CONCEPT
Bronx,Fieldston,3,Oct,0.6344,0.5996,1.1119,SIMULATED_PROOF_OF_CONCEPT
Bronx,Fieldston,3,Nov,0.3333,0.5996,1.0646,SIMULATED_PROOF_OF_CONCEPT
Bronx,Fieldston,3,Dec,0.4516,0.5996,1.1177,SIMULATED_PROOF_OF_CONCEPT
Bronx,Fordham,14,Jan,0.4286,0.6171,0.8356,SIMULATED_PROOF_OF_CONCEPT
Bronx,Fordham,14,Feb,0.3826,0.6171,0.8237,SIMULATED_PROOF_OF_CONCEPT
Bronx,Fordham,14,Mar,0.3871,0.6171,0.9324,SIMULATED_PROOF_OF_CONCEPT
Bronx,Fordham,14,Apr,0.4286,0.6171,0.9962,SIMULATED_PROOF_OF_CONCEPT
Bronx,Fordham,14,May,0.4286,0.6171,1.053,SIMULATED_PROOF_OF_CONCEPT
Bronx,Fordham,14,Jun,0.6928,0.6171,1.0313,SIMULATED_PROOF_OF_CONCEPT
Bronx,Fordham,14,Jul,0.6843,0.6171,0.9448,SIMULATED_PROOF_OF_CONCEPT
Bronx,Fordham,14,Aug,0.3733,0.6171,0.9259,SIMULATED_PROOF_OF_CONCEPT
Bronx,Fordham,14,Sep,0.2405,0.6171,1.1546,SIMULATED_PROOF_OF_CONCEPT
Bronx,Fordham,14,Oct,0.212,0.6171,1.1151,SIMULATED_PROOF_OF_CONCEPT
Bronx,Fordham,14,Nov,0.169,0.6171,1.0665,SIMULATED_PROOF_OF_CONCEPT
Bronx,Fordham,14,Dec,0.3502,0.6171,1.1211,SIMULATED_PROOF_OF_CONCEPT
Bronx,Highbridge,4,Jan,0.5,0.5732,0.8473,SIMULATED_PROOF_OF_CONCEPT
Bronx,Highbridge,4,Feb,0.5,0.5732,0.8362,SIMULATED_PROOF_OF_CONCEPT
Bronx,Highbridge,4,Mar,0.5,0.5732,0.9372,SIMULATED_PROOF_OF_CONCEPT
Bronx,Highbridge,4,Apr,0.5,0.5732,0.9964,SIMULATED_PROOF_OF_CONCEPT
Bronx,Highbridge,4,May,0.5,0.5732,1.0492,SIMULATED_PROOF_OF_CONCEPT
Bronx,Highbridge,4,Jun,0.7667,0.5732,1.0291,SIMULATED_PROOF_OF_CONCEPT
Bronx,Highbridge,4,Jul,0.8226,0.5732,0.9487,SIMULATED_PROOF_OF_CONCEPT
Bronx,Highbridge,4,Aug,0.3226,0.5732,0.9311,SIMULATED_PROOF_OF_CONCEPT
Bronx,Highbridge,4,Sep,0.6583,0.5732,1.1436,SIMULATED_PROOF_OF_CONCEPT
Bronx,Highbridge,4,Oct,0.75,0.5732,1.107,SIMULATED_PROOF_OF_CONCEPT
Bronx,Highbridge,4,Nov,0.5,0.5732,1.0617,SIMULATED_PROOF_OF_CONCEPT
Bronx,Highbridge,4,Dec,0.6532,0.5732,1.1125,SIMULATED_PROOF_OF_CONCEPT
Bronx,Hunts Point,13,Jan,0.4566,0.6103,0.8374,SIMULATED_PROOF_OF_CONCEPT
Bronx,Hunts Point,13,Feb,0.4615,0.6103,0.8256,SIMULATED_PROOF_OF_CONCEPT
Bronx,Hunts Point,13,Mar,0.5136,0.6103,0.9331,SIMULATED_PROOF_OF_CONCEPT
Bronx,Hunts Point,13,Apr,0.5385,0.6103,0.9962,SIMULATED_PROOF_OF_CONCEPT
Bronx,Hunts Point,13,May,0.5385,0.6103,1.0524,SIMULATED_PROOF_OF_CONCEPT
Bronx,Hunts Point,13,Jun,0.5564,0.6103,1.031,SIMULATED_PROOF_OF_CONCEPT
Bronx,Hunts Point,13,Jul,0.5037,0.6103,0.9454,SIMULATED_PROOF_OF_CONCEPT
Bronx,Hunts Point,13,Aug,0.2705,0.6103,0.9267,SIMULATED_PROOF_OF_CONCEPT
Bronx,Hunts Point,13,Sep,0.1718,0.6103,1.1529,SIMULATED_PROOF_OF_CONCEPT
Bronx,Hunts Point,13,Oct,0.2333,0.6103,1.1139,SIMULATED_PROOF_OF_CONCEPT
Bronx,Hunts Point,13,Nov,0.1718,0.6103,1.0657,SIMULATED_PROOF_OF_CONCEPT
Bronx,Hunts Point,13,Dec,0.3127,0.6103,1.1198,SIMULATED_PROOF_OF_CONCEPT
Bronx,Kingsbridge,9,Jan,0.3405,0.5748,0.8468,SIMULATED_PROOF_OF_CONCEPT
Bronx,Kingsbridge,9,Feb,0.3333,0.5748,0.8357,SIMULATED_PROOF_OF_CONCEPT
Bronx,Kingsbridge,9,Mar,0.4086,0.5748,0.937,SIMULATED_PROOF_OF_CONCEPT
Bronx,Kingsbridge,9,Apr,0.4444,0.5748,0.9964,SIMULATED_PROOF_OF_CONCEPT
Bronx,Kingsbridge,9,May,0.4444,0.5748,1.0493,SIMULATED_PROOF_OF_CONCEPT
Bronx,Kingsbridge,9,Jun,0.6111,0.5748,1.0292,SIMULATED_PROOF_OF_CONCEPT
Bronx,Kingsbridge,9,Jul,0.7204,0.5748,0.9486,SIMULATED_PROOF_OF_CONCEPT
Bronx,Kingsbridge,9,Aug,0.5986,0.5748,0.9309,SIMULATED_PROOF_OF_CONCEPT
Bronx,Kingsbridge,9,Sep,0.4222,0.5748,1.144,SIMULATED_PROOF_OF_CONCEPT
Bronx,Kingsbridge,9,Oct,0.3907,0.5748,1.1073,SIMULATED_PROOF_OF_CONCEPT
Bronx,Kingsbridge,9,Nov,0.3667,0.5748,1.0619,SIMULATED_PROOF_OF_CONCEPT
Bronx,Kingsbridge,9,Dec,0.4767,0.5748,1.1128,SIMULATED_PROOF_OF_CONCEPT
Bronx,Longwood,13,Jan,0.3846,0.5746,0.8469,SIMULATED_PROOF_OF_CONCEPT
Bronx,Longwood,13,Feb,0.3846,0.5746,0.8358,SIMULATED_PROOF_OF_CONCEPT
Bronx,Longwood,13,Mar,0.4367,0.5746,0.937,SIMULATED_PROOF_OF_CONCEPT
Bronx,Longwood,13,Apr,0.4615,0.5746,0.9964,SIMULATED_PROOF_OF_CONCEPT
Bronx,Longwood,13,May,0.4615,0.5746,1.0493,SIMULATED_PROOF_OF_CONCEPT
Bronx,Longwood,13,Jun,0.6487,0.5746,1.0292,SIMULATED_PROOF_OF_CONCEPT
Bronx,Longwood,13,Jul,0.7444,0.5746,0.9486,SIMULATED_PROOF_OF_CONCEPT
Bronx,Longwood,13,Aug,0.5062,0.5746,0.931,SIMULATED_PROOF_OF_CONCEPT
Bronx,Longwood,13,Sep,0.4282,0.5746,1.144,SIMULATED_PROOF_OF_CONCEPT
Bronx,Longwood,13,Oct,0.4615,0.5746,1.1072,SIMULATED_PROOF_OF_CONCEPT
Bronx,Longwood,13,Nov,0.2846,0.5746,1.0619,SIMULATED_PROOF_OF_CONCEPT
Bronx,Longwood,13,Dec,0.4318,0.5746,1.1128,SIMULATED_PROOF_OF_CONCEPT
Bronx,Melrose,9,Jan,0.6667,0.6579,0.8247,SIMULATED_PROOF_OF_CONCEPT
Bronx,Melrose,9,Feb,0.6667,0.6579,0.812,SIMULATED_PROOF_OF_CONCEPT
Bronx,Melrose,9,Mar,0.7384,0.6579,0.9279,SIMULATED_PROOF_OF_CONCEPT
Bronx,Melrose,9,Apr,0.7778,0.6579,0.9959,SIMULATED_PROOF_OF_CONCEPT
Bronx,Melrose,9,May,0.7778,0.6579,1.0565,SIMULATED_PROOF_OF_CONCEPT
Bronx,Melrose,9,Jun,0.7444,0.6579,1.0334,SIMULATED_PROOF_OF_CONCEPT
Bronx,Melrose,9,Jul,0.3405,0.6579,0.9411,SIMULATED_PROOF_OF_CONCEPT
Bronx,Melrose,9,Aug,0.1685,0.6579,0.921,SIMULATED_PROOF_OF_CONCEPT
Bronx,Melrose,9,Sep,0.263,0.6579,1.1649,SIMULATED_PROOF_OF_CONCEPT
Bronx,Melrose,9,Oct,0.147,0.6579,1.1228,SIMULATED_PROOF_OF_CONCEPT
Bronx,Melrose,9,Nov,0.1111,0.6579,1.0709,SIMULATED_PROOF_OF_CONCEPT
Bronx,Melrose,9,Dec,0.4875,0.6579,1.1291,SIMULATED_PROOF_OF_CONCEPT
Bronx,Morris Heights,2,Jan,0.0,0.9501,0.7468,SIMULATED_PROOF_OF_CONCEPT
Bronx,Morris Heights,2,Feb,0.0,0.9501,0.7285,SIMULATED_PROOF_OF_CONCEPT
Bronx,Morris Heights,2,Mar,0.0,0.9501,0.8959,SIMULATED_PROOF_OF_CONCEPT
Bronx,Morris Heights,2,Apr,0.0,0.9501,0.9941,SIMULATED_PROOF_OF_CONCEPT
Bronx,Morris Heights,2,May,0.0,0.9501,1.0815,SIMULATED_PROOF_OF_CONCEPT
Bronx,Morris Heights,2,Jun,0.4667,0.9501,1.0482,SIMULATED_PROOF_OF_CONCEPT
Bronx,Morris Heights,2,Jul,0.3871,0.9501,0.915,SIMULATED_PROOF_OF_CONCEPT
Bronx,Morris Heights,2,Aug,0.0162,0.9501,0.8859,SIMULATED_PROOF_OF_CONCEPT
