listing_id,host_tier_x,market_segment_x,cohort_key,match_method,n_peers,n_high_performers,peer_support_score,my_occupancy_days,peer_high_occupancy_days,occupancy_gap_days,missing_amenities_vs_peers,n_missing_amenities,listing_name,listing_url,borough,neighborhood,room_type,property_type,host_tier_y,market_segment_y,actual_price_usd,predicted_fair_price_usd,prediction_sd_usd,prediction_uncertainty_pct,confidence_score,confidence_level,residual_usd,residual_pct_of_fair,pricing_signal,overall_recommendation_confidence
116551,Individual,monthly,Manhattan | Entire home/apt | small | monthly | Individual,host_tier_exact_cohort,251,121,100.0,240.0,219.5,-20.5,dedicated_workspace,1,Beautiful Harlem Studio Apartment - private access,https://www.airbnb.com/rooms/116551,Manhattan,Harlem,Entire home/apt,Entire rental unit,Individual,monthly,114.33,126.66,28.14,0.2222,83.4,High,-12.33,-0.0973,Within 10% of model benchmark,89.2
118061,Individual,monthly,Brooklyn | Entire home/apt | small | monthly | Individual,host_tier_exact_cohort,298,129,100.0,255.0,222.5,-32.5,shampoo,1,Style in Stuyvesant Heights,https://www.airbnb.com/rooms/118061,Brooklyn,Bedford-Stuyvesant,Entire home/apt,Entire rental unit,Individual,monthly,124.35,138.78,30.73,0.2214,88.7,High,-14.43,-0.104,Below model benchmark (review price),92.7
128975,Small-Multi,monthly,Manhattan | Entire home/apt | large | monthly | Small-Multi,host_tier_exact_cohort,34,11,80.8,180.0,222.3,42.3,bed_linens,1,City Room - Street View Apt,https://www.airbnb.com/rooms/128975,Manhattan,Harlem,Entire home/apt,Entire rental unit,Small-Multi,monthly,113.03,171.16,38.05,0.2223,82.0,High,-58.13,-0.3396,Below model benchmark (review price),81.6
136493,Individual,short_stay,Brooklyn | Private room | medium | short_stay | Individual,host_tier_exact_cohort,34,20,80.8,90.0,255.0,165.0,hair_dryer; iron; shampoo; fire_extinguisher,4,Historical space with exceptional light & art,https://www.airbnb.com/rooms/136493,Brooklyn,Park Slope,Private room,Private room in townhouse,Individual,short_stay,432.0,494.09,140.36,0.2841,36.3,Low,-62.09,-0.1257,Below model benchmark (review price),51.9
12937,Individual,short_stay,Queens | Private room | small | short_stay | Individual,host_tier_exact_cohort,215,132,100.0,255.0,255.0,0.0,kitchen; refrigerator; cooking_basics; dedicated_workspace; self_check_in; fire_extinguisher,6,"1 Stop to Midtown! Private Bedroom, Landmark House",https://www.airbnb.com/rooms/12937,Queens,Long Island City,Private room,Private room in townhouse,Individual,short_stay,359.67,214.0,59.56,0.2783,46.5,Low,145.67,0.6807,Above model benchmark (review price),65.2
12940,Individual,monthly,Brooklyn | Entire home/apt | small | monthly | Individual,host_tier_exact_cohort,298,130,100.0,60.0,222.7,162.7,dedicated_workspace; shampoo; fire_extinguisher,3,Charming Brownstone Near PRATT,https://www.airbnb.com/rooms/12940,Brooklyn,Bedford-Stuyvesant,Entire home/apt,Entire rental unit,Individual,monthly,153.6,139.5,30.88,0.2214,89.2,High,14.1,0.101,Above model benchmark (review price),93.0
14314,Individual,monthly,Brooklyn | Entire home/apt | small | monthly | Individual,host_tier_exact_cohort,298,130,100.0,60.0,222.7,162.7,(none),0,Greenpoint Place...Has It All!,https://www.airbnb.com/rooms/14314,Brooklyn,Greenpoint,Entire home/apt,Entire rental unit,Individual,monthly,138.2,218.62,49.97,0.2286,51.0,Low,-80.42,-0.3678,Below model benchmark (review price),68.2
148825,Small-Multi,monthly,Manhattan | Entire home/apt | medium | monthly | Small-Multi,host_tier_exact_cohort,102,39,100.0,248.0,219.4,-28.6,bed_linens; dedicated_workspace; self_check_in,3,Best City Area Columbia U Upper West Side C Park,https://www.airbnb.com/rooms/148825,Manhattan,Upper West Side,Entire home/apt,Entire rental unit,Small-Multi,monthly,139.68,184.84,41.12,0.2224,77.9,High,-45.16,-0.2443,Below model benchmark (review price),85.6
15341,Individual,monthly,Manhattan | Entire home/apt | small | monthly | Individual,host_tier_exact_cohort,251,122,100.0,120.0,219.7,99.7,wifi; heating,2,"* Lovely Nolita 1Bdrm w AC, Doorman & Elevator *",https://www.airbnb.com/rooms/15341,Manhattan,Lower East Side,Entire home/apt,Entire condo,Individual,monthly,274.73,236.42,54.56,0.2308,43.8,Low,38.31,0.162,Above model benchmark (review price),63.5
16338,Individual,monthly,Brooklyn | Private room | small | monthly | Individual,host_tier_exact_cohort,144,55,100.0,180.0,216.5,36.5,microwave,1,"Large Room + Private Deck, Clinton Hill Best Area",https://www.airbnb.com/rooms/16338,Brooklyn,Clinton Hill,Private room,Private room in condo,Individual,monthly,57.01,88.73,21.41,0.2413,29.2,Low,-31.72,-0.3575,Below model benchmark (review price),54.0
16580,Small-Multi,short_stay,Manhattan | Private room | small | short_stay | Small-Multi,host_tier_exact_cohort,230,107,100.0,255.0,255.0,0.0,(none),0,"Sunny, Modern room in East Village w City Views",https://www.airbnb.com/rooms/16580,Manhattan,East Village,Private room,Private room in condo,Small-Multi,short_stay,194.0,292.14,82.74,0.2832,37.4,Low,-98.14,-0.3359,Below model benchmark (review price),59.3
16821,Small-Multi,short_stay,Manhattan | Private room | small | short_stay | Small-Multi,host_tier_exact_cohort,230,107,100.0,255.0,255.0,0.0,air_conditioning; shampoo,2,Charming Room in Amazing East Village Apt. (B),https://www.airbnb.com/rooms/16821,Manhattan,East Village,Private room,Private room in rental unit,Small-Multi,short_stay,214.54,251.93,69.95,0.2776,48.1,Low,-37.39,-0.1484,Below model benchmark (review price),66.3
272026,Individual,monthly,Manhattan | Entire home/apt | small | monthly | Individual,host_tier_exact_cohort,251,122,100.0,60.0,219.7,159.7,hot_water; hangers; bed_linens; hair_dryer; iron; dishes_and_silverware; microwave; cooking_basics,8,1 Bd Manhattan NYC Entire Apt 1 yr or 1 mos. min.,https://www.airbnb.com/rooms/272026,Manhattan,Inwood,Entire home/apt,Entire rental unit,Individual,monthly,90.73,102.27,23.78,0.2325,39.0,Low,-11.54,-0.1128,Below model benchmark (review price),60.4
279857,Individual,short_stay,Brooklyn | Entire home/apt | large | short_stay | Individual,host_tier_exact_cohort,68,48,100.0,255.0,255.0,0.0,kitchen,1,"Gordy’s Place for Large Groups 8Rms, 5Bth, 24+beds",https://www.airbnb.com/rooms/279857,Brooklyn,Bedford-Stuyvesant,Entire home/apt,Entire home,Individual,short_stay,2593.0,5080.91,1380.99,0.2718,71.6,Medium,-2487.91,-0.4897,Below model benchmark (review price),81.5
16974,Individual,monthly,Manhattan | Entire home/apt | large | monthly | Individual,host_tier_exact_cohort,58,30,100.0,60.0,169.8,109.8,carbon_monoxide_alarm; bed_linens; shampoo; self_check_in; fire_extinguisher,5,SpaHa Loft: Enormous and Bright,https://www.airbnb.com/rooms/16974,Manhattan,East Harlem,Entire home/apt,Entire loft,Individual,monthly,211.57,458.52,106.3,0.2318,41.0,Low,-246.95,-0.5386,Below model benchmark (review price),61.6
281851,Small-Multi,monthly,Manhattan | Private room | small | monthly | Small-Multi,host_tier_exact_cohort,175,60,100.0,60.0,213.3,153.4,(none),0,Beautiful Private Bedroom - Downstairs,https://www.airbnb.com/rooms/281851,Manhattan,Harlem,Private room,Private room in home,Small-Multi,monthly,107.85,68.82,15.49,0.2251,63.9,Medium,39.03,0.5672,Above model benchmark (review price),76.5
287845,Individual,monthly,Brooklyn | Entire home/apt | medium | monthly | Individual,host_tier_exact_cohort,278,125,100.0,120.0,216.4,96.4,wifi,1,Carroll Gardens Gem-2BD with Garden,https://www.airbnb.com/rooms/287845,Brooklyn,Carroll Gardens,Entire home/apt,Entire rental unit,Individual,monthly,326.33,272.01,63.76,0.2344,35.7,Low,54.32,0.1997,Above model benchmark (review price),58.2
288726,Individual,monthly,Manhattan | Private room | small | monthly | Individual,host_tier_exact_cohort,128,57,100.0,120.0,217.1,97.1,dishes_and_silverware; microwave,2,Cozy Railroad Apt.,https://www.airbnb.com/rooms/288726,Manhattan,Little Italy,Private room,Private room in rental unit,Individual,monthly,111.58,117.16,27.38,0.2336,37.0,Low,-5.58,-0.0477,Within 10% of model benchmark,59.0
292800,Individual,monthly,Manhattan | Entire home/apt | small | monthly | Individual,host_tier_exact_cohort,251,121,100.0,255.0,219.4,-35.6,hair_dryer,1,"Sunny, Quiet West Village/Meatpacking 1BR Gem",https://www.airbnb.com/rooms/292800,Manhattan,West Village,Entire home/apt,Entire rental unit,Individual,monthly,112.43,246.77,56.12,0.2274,55.5,Medium,-134.34,-0.5444,Below model benchmark (review price),71.1
150804,Individual,short_stay,Manhattan | Private room | small | short_stay | Individual,host_tier_exact_cohort,142,100,100.0,218.0,255.0,37.0,iron; microwave; dedicated_workspace; air_conditioning; shampoo; self_check_in,6,Colorful 2+ Bedroom Apt. on NYC's Lower East Side,https://www.airbnb.com/rooms/150804,Manhattan,Lower East Side,Private room,Private room in rental unit,Individual,short_stay,533.5,448.99,122.24,0.2723,69.0,Medium,84.51,0.1882,Above model benchmark (review price),79.8
151199,Individual,short_stay,Queens | Entire home/apt | medium | short_stay | Individual,host_tier_exact_cohort,26,16,71.2,255.0,255.0,0.0,kitchen; dishes_and_silverware; cooking_basics; self_check_in,4,Astoria/LIC  Private Home located near train,https://www.airbnb.com/rooms/151199,Queens,Astoria,Entire home/apt,Entire home,Individual,short_stay,342.5,324.78,90.5,0.2786,46.0,Low,17.72,0.0546,Within 10% of model benchmark,54.8
152263,Small-Multi,short_stay,Manhattan | Private room | medium | short_stay | Small-Multi,host_tier_exact_cohort,58,23,100.0,255.0,255.0,0.0,essentials; dedicated_workspace,2,Cozy private room and bathroom in a Brownstone,https://www.airbnb.com/rooms/152263,Manhattan,Harlem,Private room,Private room in guest suite,Small-Multi,short_stay,320.0,251.17,69.78,0.2778,47.8,Low,68.83,0.274,Above model benchmark (review price),66.1
18728,Individual,monthly,Manhattan | Private room | medium | monthly,knn_fallback,30,12,60.0,60.0,251.2,191.2,(none),0,Beautiful Meatpacking District Loft,https://www.airbnb.com/rooms/18728,Manhattan,Chelsea,Private room,Private room in loft,Individual,monthly,207.23,139.58,34.24,0.2453,26.6,Low,67.65,0.4846,Above model benchmark (review price),38.3
294242,Enterprise,short_stay,Brooklyn | Entire home/apt | medium | short_stay | Enterprise,host_tier_exact_cohort,25,15,70.0,26.0,255.0,229.0,(none),0,Loft Suite,https://www.airbnb.com/rooms/294242,Brooklyn,Greenpoint,Entire home/apt,Entire rental unit,Enterprise,short_stay,752.04,449.04,125.4,0.2793,44.9,Low,303.0,0.6748,Above model benchmark (review price),53.7
294259,Enterprise,short_stay,Brooklyn | Entire home/apt | medium | short_stay | Enterprise,host_tier_exact_cohort,25,15,70.0,77.0,255.0,178.0,(none),0,Loft Suite,https://www.airbnb.com/rooms/294259,Brooklyn,Greenpoint,Entire home/apt,Entire rental unit,Enterprise,short_stay,752.04,469.95,131.24,0.2793,44.9,Low,282.09,0.6003,Above model benchmark (review price),53.7
294263,Enterprise,short_stay,Brooklyn | Entire home/apt | medium | short_stay | Enterprise,host_tier_exact_cohort,25,15,70.0,13.0,255.0,242.0,microwave,1,Loft Suite,https://www.airbnb.com/rooms/294263,Brooklyn,Greenpoint,Entire home/apt,Entire rental unit,Enterprise,short_stay,536.0,484.25,135.24,0.2793,44.9,Low,51.75,0.1069,Above model benchmark (review price),53.7
295998,Individual,monthly,Manhattan | Entire home/apt | small | monthly | Individual,host_tier_exact_cohort,251,121,100.0,180.0,220.0,40.0,smoke_alarm; carbon_monoxide_alarm; hangers; bed_linens; hair_dryer; iron,6,Panoramic View Central Park & NYC,https://www.airbnb.com/rooms/295998,Manhattan,Upper West Side,Entire home/apt,Entire rental unit,Individual,monthly,254.42,172.47,38.35,0.2223,80.1,High,81.95,0.4752,Above model benchmark (review price),87.1
166006,Individual,monthly,Manhattan | Entire home/apt | large | monthly | Individual,host_tier_exact_cohort,58,29,100.0,124.0,171.4,47.4,carbon_monoxide_alarm; dedicated_workspace; shampoo; self_check_in; fire_extinguisher,5,Nice Manhattan Apt Near Central Park and Subway,https://www.airbnb.com/rooms/166006,Manhattan,Upper West Side,Entire home/apt,Entire rental unit,Individual,monthly,177.47,298.67,66.39,0.2223,82.5,High,-121.2,-0.4058,Below model benchmark (review price),88.6
170761,Small-Multi,short_stay,Brooklyn | Private room | small | short_stay | Small-Multi,host_tier_exact_cohort,276,183,100.0,255.0,255.0,0.0,kitchen; refrigerator; cooking_basics; dedicated_workspace; air_conditioning; self_check_in,6,"Fort Greene, Brooklyn: Front Bedroom",https://www.airbnb.com/rooms/170761,Brooklyn,Fort Greene,Private room,Private room in rental unit,Small-Multi,short_stay,212.0,231.25,67.28,0.2909,29.3,Low,-19.25,-0.0832,Within 10% of model benchmark,54.0
171562,Individual,monthly,Manhattan | Entire home/apt | small | monthly | Individual,host_tier_exact_cohort,251,122,100.0,60.0,219.7,159.7,wifi,1,Chelsea studio with balcony & views,https://www.airbnb.com/rooms/171562,Manhattan,Chelsea,Entire home/apt,Entire condo,Individual,monthly,208.24,249.23,56.75,0.2277,54.0,Low,-40.99,-0.1645,Below model benchmark (review price),70.1
25696,Individual,short_stay,Manhattan | Private room | small | short_stay | Individual,host_tier_exact_cohort,142,99,100.0,255.0,255.0,0.0,dedicated_workspace; shampoo,2,Hague House,https://www.airbnb.com/rooms/25696,Manhattan,Harlem,Private room,Private room in condo,Individual,short_stay,256.76,260.23,71.47,0.2747,60.6,Medium,-3.47,-0.0133,Within 10% of model benchmark,74.4
298759,Small-Multi,monthly,Brooklyn | Private room | small | monthly | Small-Multi,host_tier_exact_cohort,281,94,100.0,60.0,209.3,149.3,bed_linens; microwave,2,Large Double Room  Queenbed Wifi,https://www.airbnb.com/rooms/298759,Brooklyn,Bedford-Stuyvesant,Private room,Private room in rental unit,Small-Multi,monthly,49.32,92.52,20.64,0.2231,74.9,Medium,-43.2,-0.4669,Below model benchmark (review price),83.7
299531,Small-Multi,monthly,Brooklyn | Entire home/apt | large | monthly | Small-Multi,host_tier_exact_cohort,113,37,100.0,240.0,210.6,-29.4,bed_linens; microwave; dedicated_workspace; shampoo,4,Feel like you never leave your home,https://www.airbnb.com/rooms/299531,Brooklyn,East New York,Entire home/apt,Entire home,Small-Multi,monthly,168.17,130.42,30.31,0.2324,40.1,Low,37.75,0.2894,Above model benchmark (review price),61.1
302238,Mid-Multi,monthly,Manhattan | Entire home/apt | large | monthly | Mid-Multi,host_tier_exact_cohort,55,25,100.0,120.0,139.2,19.2,air_conditioning,1,GORGEOUS TWO BEDROOM FLAT IN MANHATTAN,https://www.airbnb.com/rooms/302238,Manhattan,Harlem,Entire home/apt,Entire rental unit,Mid-Multi,monthly,224.0,286.84,63.96,0.223,75.4,High,-62.84,-0.2191,Below model benchmark (review price),84.0
302309,Mid-Multi,monthly,Manhattan | Entire home/apt | large | monthly | Mid-Multi,host_tier_exact_cohort,55,26,100.0,60.0,138.5,78.5,hangers; bed_linens; essentials; microwave; refrigerator; air_conditioning; heating,7,PLUSH AND SPACIOUS 2-BEDROOM IN NYC,https://www.airbnb.com/rooms/302309,Manhattan,Harlem,Entire home/apt,Entire rental unit,Mid-Multi,monthly,231.74,284.78,63.5,0.223,75.4,High,-53.04,-0.1863,Below model benchmark (review price),84.0
302705,Individual,monthly,Manhattan | Private room | small | monthly | Individual,host_tier_exact_cohort,128,56,100.0,240.0,216.7,-23.3,carbon_monoxide_alarm; hangers; bed_linens; essentials; dishes_and_silverware; microwave; refrigerator; cooking_basics; fire_extinguisher,9,Wonderful Room on the UES 2,https://www.airbnb.com/rooms/302705,Manhattan,Upper East Side,Private room,Private room in rental unit,Individual,monthly,82.97,124.22,27.72,0.2232,74.6,Medium,-41.25,-0.3321,Below model benchmark (review price),83.5
182069,Individual,monthly,Manhattan | Entire home/apt | medium | monthly | Individual,host_tier_exact_cohort,153,62,100.0,255.0,220.6,-34.4,dedicated_workspace,1,Cozy entire studio Apartment,https://www.airbnb.com/rooms/182069,Manhattan,East Harlem,Entire home/apt,Entire condo,Individual,monthly,153.84,195.73,44.68,0.2283,51.8,Low,-41.89,-0.214,Below model benchmark (review price),68.7
189135,Individual,short_stay,Manhattan | Private room | small | short_stay | Individual,host_tier_exact_cohort,142,99,100.0,255.0,255.0,0.0,wifi; kitchen; microwave; dedicated_workspace; air_conditioning; self_check_in,6,Hell's Kitchen Funky 80s Hideaway!,https://www.airbnb.com/rooms/189135,Manhattan,Hell's Kitchen,Private room,Private room in rental unit,Individual,short_stay,217.0,272.69,73.54,0.2697,77.9,High,-55.69,-0.2042,Below model benchmark (review price),85.6
29013,Mid-Multi,monthly,Brooklyn | Private room | small | monthly | Mid-Multi,host_tier_exact_cohort,246,137,100.0,240.0,169.4,-70.6,fire_extinguisher,1,Cozy Gorgeous Room,https://www.airbnb.com/rooms/29013,Brooklyn,Bedford-Stuyvesant,Private room,Private room in rental unit,Mid-Multi,monthly,78.98,82.29,18.42,0.2239,70.4,Medium,-3.31,-0.0402,Within 10% of model benchmark,80.8
29628,Individual,short_stay,Brooklyn | Private room | small | short_stay | Individual,host_tier_exact_cohort,432,264,100.0,255.0,255.0,0.0,wifi; self_check_in,2,"Comfortable, Sunny Room",https://www.airbnb.com/rooms/29628,Brooklyn,Clinton Hill,Private room,Private room in condo,Individual,short_stay,272.5,263.92,76.63,0.2903,30.1,Low,8.58,0.0325,Within 10% of model benchmark,54.6
31994,Small-Multi,short_stay,Brooklyn | Private room | small | short_stay | Small-Multi,host_tier_exact_cohort,276,183,100.0,255.0,255.0,0.0,kitchen; dedicated_workspace; air_conditioning; self_check_in; fire_extinguisher,5,Room with En Suite Bathroom & Deck,https://www.airbnb.com/rooms/31994,Brooklyn,Clinton Hill,Private room,Private room in rental unit,Small-Multi,short_stay,165.47,172.22,49.12,0.2852,34.0,Low,-6.75,-0.0392,Within 10% of model benchmark,57.1
191610,Individual,short_stay,Manhattan | Private room | small | short_stay | Individual,host_tier_exact_cohort,142,99,100.0,255.0,255.0,0.0,kitchen; air_conditioning; shampoo,3,Presence Guest Room - Chelsea NYC,https://www.airbnb.com/rooms/191610,Manhattan,Chelsea,Private room,Private room in townhouse,Individual,short_stay,246.5,253.92,69.55,0.2739,63.1,Medium,-7.42,-0.0292,Within 10% of model benchmark,76.0
303264,Mid-Multi,monthly,Manhattan | Entire home/apt | large | monthly | Mid-Multi,host_tier_exact_cohort,55,26,100.0,60.0,138.5,78.5,bed_linens,1,FABULOUS & LARGE 2 BEDROOM IN NYC!,https://www.airbnb.com/rooms/303264,Manhattan,Harlem,Entire home/apt,Entire rental unit,Mid-Multi,monthly,226.77,252.44,56.29,0.223,75.4,High,-25.67,-0.1017,Below model benchmark (review price),84.0
305245,Mid-Multi,monthly,Manhattan | Entire home/apt | large | monthly | Mid-Multi,host_tier_exact_cohort,55,25,100.0,120.0,139.2,19.2,(none),0,BEAUTIFUL 2-BEDROOM TOWNHOUSE NYC,https://www.airbnb.com/rooms/305245,Manhattan,Harlem,Entire home/apt,Entire rental unit,Mid-Multi,monthly,218.47,322.63,71.94,0.223,75.4,High,-104.16,-0.3229,Below model benchmark (review price),84.0
310524,Individual,short_stay,Brooklyn | Private room | small | short_stay | Individual,host_tier_exact_cohort,432,264,100.0,255.0,255.0,0.0,wifi; fire_extinguisher,2,Clinton Hill Duplex near Pratt w/Huge Patio!,https://www.airbnb.com/rooms/310524,Brooklyn,Bedford-Stuyvesant,Private room,Private room in condo,Individual,short_stay,217.0,226.44,61.89,0.2733,65.0,Medium,-9.44,-0.0417,Within 10% of model benchmark,77.2
33009,Individual,monthly,Brooklyn | Entire home/apt | small | monthly | Individual,host_tier_exact_cohort,298,130,100.0,120.0,222.7,102.7,microwave; shampoo; self_check_in,3,Retreat in Williamsburg,https://www.airbnb.com/rooms/33009,Brooklyn,Williamsburg,Entire home/apt,Entire rental unit,Individual,monthly,179.27,193.95,43.12,0.2223,80.1,High,-14.68,-0.0757,Within 10% of model benchmark,87.1
36647,Individual,monthly,Manhattan | Private room | small | monthly | Individual,host_tier_exact_cohort,128,57,100.0,60.0,217.1,157.1,smoke_alarm; carbon_monoxide_alarm; cooking_basics,3,"1 Bedroom & your own Bathroom, Elevator Apartment",https://www.airbnb.com/rooms/36647,Manhattan,East Harlem,Private room,Private room in condo,Individual,monthly,95.13,101.47,23.87,0.2353,35.0,Low,-6.34,-0.0625,Within 10% of model benchmark,57.8
314982,Individual,monthly,Manhattan | Private room | small | monthly | Individual,host_tier_exact_cohort,128,56,100.0,180.0,217.8,37.8,bed_linens,1,Share in NYC's trendy East Village,https://www.airbnb.com/rooms/314982,Manhattan,East Village,Private room,Private room in rental unit,Individual,monthly,110.06,112.27,25.45,0.2266,57.5,Medium,-2.21,-0.0197,Within 10% of model benchmark,72.4
318021,Individual,monthly,Manhattan | Private room | small | monthly | Individual,host_tier_exact_cohort,128,56,100.0,255.0,216.4,-38.6,dedicated_workspace,1,Room in Huge 1200sf W Harlem Suite,https://www.airbnb.com/rooms/318021,Manhattan,Harlem,Private room,Private room in rental unit,Individual,monthly,47.71,71.02,15.89,0.2238,71.5,Medium,-23.31,-0.3282,Below model benchmark (review price),81.5
322037,Individual,monthly,Brooklyn | Entire home/apt | large | monthly | Individual,host_tier_exact_cohort,109,40,100.0,60.0,223.1,163.1,hot_water; bed_linens; microwave; cooking_basics; dedicated_workspace; fire_extinguisher,6,"Luxury Williamsburg, Brooklyn LOFT",https://www.airbnb.com/rooms/322037,Brooklyn,Williamsburg,Entire home/apt,Entire rental unit,Individual,monthly,301.62,253.93,56.45,0.2223,82.5,High,47.69,0.1878,Above model benchmark (review price),88.6
198744,Small-Multi,monthly,Manhattan | Entire home/apt | small | monthly | Small-Multi,host_tier_exact_cohort,132,47,100.0,60.0,249.4,189.4,microwave; refrigerator; cooking_basics,3,Sun-Drenched Lincoln Center Studio,https://www.airbnb.com/rooms/198744,Manhattan,Upper West Side,Entire home/apt,Entire rental unit,Small-Multi,monthly,239.41,205.59,45.72,0.2224,78.6,High,33.82,0.1645,Above model benchmark (review price),86.1
199733,Small-Multi,monthly,Brooklyn | Entire home/apt | small | monthly | Small-Multi,host_tier_exact_cohort,160,61,100.0,60.0,212.5,152.5,wifi; refrigerator,2,Solo Travelers Private Garden XL Studio,https://www.airbnb.com/rooms/199733,Brooklyn,Crown Heights,Entire home/apt,Entire townhouse,Small-Multi,monthly,146.97,123.65,28.45,0.2301,45.6,Low,23.32,0.1886,Above model benchmark (review price),64.6
39282,Small-Multi,short_stay,Brooklyn | Private room | small | short_stay | Small-Multi,host_tier_exact_cohort,276,184,100.0,154.0,255.0,101.0,smoke_alarm; carbon_monoxide_alarm; dedicated_workspace; shampoo; fire_extinguisher,5,Cozy “Indie Rock”Room in the Heart of Williamsburg,https://www.airbnb.com/rooms/39282,Brooklyn,Williamsburg,Private room,Private room in rental unit,Small-Multi,short_stay,253.75,203.9,55.55,0.2724,68.0,Medium,49.85,0.2445,Above model benchmark (review price),79.2
