listing_id,listing_name,listing_url,borough,neighborhood,room_type,max_guests,host_tier,segment,split_80_20,cv_fold,actual_price_usd,predicted_fair_price_log_ols_oof_usd,residual_actual_minus_predicted_usd,residual_pct_of_predicted,pricing_signal
2539,11 Min to Manhattan • Prospect Park • Fast WiFi,https://www.airbnb.com/rooms/2539,Brooklyn,Kensington,Private room,2,Small-Multi,Brooklyn | Private room | small,test_20,1,113.97,158.1,-44.13,-0.2791,Below model benchmark
148825,Best City Area Columbia U Upper West Side C Park,https://www.airbnb.com/rooms/148825,Manhattan,Upper West Side,Entire home/apt,3,Small-Multi,Manhattan | Entire home/apt | medium,test_20,1,139.68,235.28,-95.6,-0.4063,Below model benchmark
15341,"* Lovely Nolita 1Bdrm w AC, Doorman & Elevator *",https://www.airbnb.com/rooms/15341,Manhattan,Lower East Side,Entire home/apt,2,Individual,Manhattan | Entire home/apt | small,train_80,4,274.73,294.38,-19.65,-0.0668,Below model benchmark
16338,"Large Room + Private Deck, Clinton Hill Best Area",https://www.airbnb.com/rooms/16338,Brooklyn,Clinton Hill,Private room,1,Individual,Brooklyn | Private room | small,test_20,1,57.01,114.78,-57.77,-0.5033,Below model benchmark
16580,"Sunny, Modern room in East Village w City Views",https://www.airbnb.com/rooms/16580,Manhattan,East Village,Private room,1,Small-Multi,Manhattan | Private room | small,train_80,5,194.0,210.11,-16.11,-0.0767,Below model benchmark
16821,Charming Room in Amazing East Village Apt. (B),https://www.airbnb.com/rooms/16821,Manhattan,East Village,Private room,1,Small-Multi,Manhattan | Private room | small,train_80,5,214.54,164.3,50.24,0.3058,Above model benchmark
272026,1 Bd Manhattan NYC Entire Apt 1 yr or 1 mos. min.,https://www.airbnb.com/rooms/272026,Manhattan,Inwood,Entire home/apt,2,Individual,Manhattan | Entire home/apt | small,train_80,4,90.73,167.38,-76.65,-0.4579,Below model benchmark
279857,"Gordy’s Place for Large Groups 8Rms, 5Bth, 24+beds",https://www.airbnb.com/rooms/279857,Brooklyn,Bedford-Stuyvesant,Entire home/apt,16,Individual,Brooklyn | Entire home/apt | large,test_20,1,2593.0,3481.12,-888.12,-0.2551,Below model benchmark
16974,SpaHa Loft: Enormous and Bright,https://www.airbnb.com/rooms/16974,Manhattan,East Harlem,Entire home/apt,8,Individual,Manhattan | Entire home/apt | large,train_80,4,211.57,616.01,-404.44,-0.6565,Below model benchmark
281851,Beautiful Private Bedroom - Downstairs,https://www.airbnb.com/rooms/281851,Manhattan,Harlem,Private room,2,Small-Multi,Manhattan | Private room | small,train_80,4,107.85,195.45,-87.6,-0.4482,Below model benchmark
287845,Carroll Gardens Gem-2BD with Garden,https://www.airbnb.com/rooms/287845,Brooklyn,Carroll Gardens,Entire home/apt,4,Individual,Brooklyn | Entire home/apt | medium,train_80,2,326.33,329.36,-3.03,-0.0092,Below model benchmark
288726,Cozy Railroad Apt.,https://www.airbnb.com/rooms/288726,Manhattan,Little Italy,Private room,1,Individual,Manhattan | Private room | small,train_80,2,111.58,227.76,-116.18,-0.5101,Below model benchmark
292800,"Sunny, Quiet West Village/Meatpacking 1BR Gem",https://www.airbnb.com/rooms/292800,Manhattan,West Village,Entire home/apt,2,Individual,Manhattan | Entire home/apt | small,train_80,2,112.43,236.74,-124.31,-0.5251,Below model benchmark
150804,Colorful 2+ Bedroom Apt. on NYC's Lower East Side,https://www.airbnb.com/rooms/150804,Manhattan,Lower East Side,Private room,2,Individual,Manhattan | Private room | small,test_20,1,533.5,229.78,303.72,1.3218,Above model benchmark
151199,Astoria/LIC  Private Home located near train,https://www.airbnb.com/rooms/151199,Queens,Astoria,Entire home/apt,3,Individual,Queens | Entire home/apt | medium,test_20,1,342.5,254.75,87.75,0.3445,Above model benchmark
152263,Cozy private room and bathroom in a Brownstone,https://www.airbnb.com/rooms/152263,Manhattan,Harlem,Private room,3,Small-Multi,Manhattan | Private room | medium,test_20,1,320.0,253.71,66.29,0.2613,Above model benchmark
18728,Beautiful Meatpacking District Loft,https://www.airbnb.com/rooms/18728,Manhattan,Chelsea,Private room,3,Individual,Manhattan | Private room | medium,train_80,4,207.23,349.34,-142.11,-0.4068,Below model benchmark
294242,Loft Suite,https://www.airbnb.com/rooms/294242,Brooklyn,Greenpoint,Entire home/apt,4,Enterprise,Brooklyn | Entire home/apt | medium,test_20,1,752.04,231.15,520.89,2.2535,Above model benchmark
294259,Loft Suite,https://www.airbnb.com/rooms/294259,Brooklyn,Greenpoint,Entire home/apt,4,Enterprise,Brooklyn | Entire home/apt | medium,train_80,2,752.04,251.78,500.26,1.9868,Above model benchmark
294263,Loft Suite,https://www.airbnb.com/rooms/294263,Brooklyn,Greenpoint,Entire home/apt,4,Enterprise,Brooklyn | Entire home/apt | medium,train_80,5,536.0,256.93,279.07,1.0861,Above model benchmark
295998,Panoramic View Central Park & NYC,https://www.airbnb.com/rooms/295998,Manhattan,Upper West Side,Entire home/apt,2,Individual,Manhattan | Entire home/apt | small,test_20,1,254.42,170.72,83.7,0.4902,Above model benchmark
166006,Nice Manhattan Apt Near Central Park and Subway,https://www.airbnb.com/rooms/166006,Manhattan,Upper West Side,Entire home/apt,6,Individual,Manhattan | Entire home/apt | large,test_20,1,177.47,393.68,-216.21,-0.5492,Below model benchmark
170761,"Fort Greene, Brooklyn: Front Bedroom",https://www.airbnb.com/rooms/170761,Brooklyn,Fort Greene,Private room,2,Small-Multi,Brooklyn | Private room | small,train_80,5,212.0,160.96,51.04,0.3171,Above model benchmark
171562,Chelsea studio with balcony & views,https://www.airbnb.com/rooms/171562,Manhattan,Chelsea,Entire home/apt,2,Individual,Manhattan | Entire home/apt | small,test_20,1,208.24,305.19,-96.95,-0.3177,Below model benchmark
25696,Hague House,https://www.airbnb.com/rooms/25696,Manhattan,Harlem,Private room,2,Individual,Manhattan | Private room | small,train_80,4,256.76,235.78,20.98,0.089,Above model benchmark
298759,Large Double Room  Queenbed Wifi,https://www.airbnb.com/rooms/298759,Brooklyn,Bedford-Stuyvesant,Private room,2,Small-Multi,Brooklyn | Private room | small,train_80,2,49.32,154.03,-104.71,-0.6798,Below model benchmark
299531,Feel like you never leave your home,https://www.airbnb.com/rooms/299531,Brooklyn,East New York,Entire home/apt,7,Small-Multi,Brooklyn | Entire home/apt | large,train_80,5,168.17,323.26,-155.09,-0.4798,Below model benchmark
302238,GORGEOUS TWO BEDROOM FLAT IN MANHATTAN,https://www.airbnb.com/rooms/302238,Manhattan,Harlem,Entire home/apt,9,Mid-Multi,Manhattan | Entire home/apt | large,train_80,3,224.0,547.32,-323.32,-0.5907,Below model benchmark
302309,PLUSH AND SPACIOUS 2-BEDROOM IN NYC,https://www.airbnb.com/rooms/302309,Manhattan,Harlem,Entire home/apt,9,Mid-Multi,Manhattan | Entire home/apt | large,train_80,3,231.74,607.23,-375.49,-0.6184,Below model benchmark
302705,Wonderful Room on the UES 2,https://www.airbnb.com/rooms/302705,Manhattan,Upper East Side,Private room,1,Individual,Manhattan | Private room | small,train_80,3,82.97,187.15,-104.18,-0.5567,Below model benchmark
182069,Cozy entire studio Apartment,https://www.airbnb.com/rooms/182069,Manhattan,East Harlem,Entire home/apt,3,Individual,Manhattan | Entire home/apt | medium,test_20,1,153.84,290.07,-136.23,-0.4697,Below model benchmark
189135,Hell's Kitchen Funky 80s Hideaway!,https://www.airbnb.com/rooms/189135,Manhattan,Hell's Kitchen,Private room,2,Individual,Manhattan | Private room | small,test_20,1,217.0,257.97,-40.97,-0.1588,Below model benchmark
29013,Cozy Gorgeous Room,https://www.airbnb.com/rooms/29013,Brooklyn,Bedford-Stuyvesant,Private room,2,Mid-Multi,Brooklyn | Private room | small,train_80,2,78.98,129.19,-50.21,-0.3887,Below model benchmark
29628,"Comfortable, Sunny Room",https://www.airbnb.com/rooms/29628,Brooklyn,Clinton Hill,Private room,2,Individual,Brooklyn | Private room | small,train_80,3,272.5,178.37,94.13,0.5277,Above model benchmark
31994,Room with En Suite Bathroom & Deck,https://www.airbnb.com/rooms/31994,Brooklyn,Clinton Hill,Private room,2,Small-Multi,Brooklyn | Private room | small,test_20,1,165.47,133.5,31.97,0.2395,Above model benchmark
191610,Presence Guest Room - Chelsea NYC,https://www.airbnb.com/rooms/191610,Manhattan,Chelsea,Private room,2,Individual,Manhattan | Private room | small,train_80,2,246.5,232.05,14.45,0.0623,Above model benchmark
303264,FABULOUS & LARGE 2 BEDROOM IN NYC!,https://www.airbnb.com/rooms/303264,Manhattan,Harlem,Entire home/apt,8,Mid-Multi,Manhattan | Entire home/apt | large,train_80,4,226.77,466.58,-239.81,-0.514,Below model benchmark
305245,BEAUTIFUL 2-BEDROOM TOWNHOUSE NYC,https://www.airbnb.com/rooms/305245,Manhattan,Harlem,Entire home/apt,9,Mid-Multi,Manhattan | Entire home/apt | large,train_80,3,218.47,731.3,-512.83,-0.7013,Below model benchmark
310524,Clinton Hill Duplex near Pratt w/Huge Patio!,https://www.airbnb.com/rooms/310524,Brooklyn,Bedford-Stuyvesant,Private room,2,Individual,Brooklyn | Private room | small,train_80,5,217.0,171.6,45.4,0.2646,Above model benchmark
33009,Retreat in Williamsburg,https://www.airbnb.com/rooms/33009,Brooklyn,Williamsburg,Entire home/apt,2,Individual,Brooklyn | Entire home/apt | small,train_80,5,179.27,192.95,-13.68,-0.0709,Below model benchmark
36647,"1 Bedroom & your own Bathroom, Elevator Apartment",https://www.airbnb.com/rooms/36647,Manhattan,East Harlem,Private room,2,Individual,Manhattan | Private room | small,train_80,2,95.13,208.09,-112.96,-0.5428,Below model benchmark
314982,Share in NYC's trendy East Village,https://www.airbnb.com/rooms/314982,Manhattan,East Village,Private room,2,Individual,Manhattan | Private room | small,train_80,2,110.06,204.89,-94.83,-0.4628,Below model benchmark
318021,Room in Huge 1200sf W Harlem Suite,https://www.airbnb.com/rooms/318021,Manhattan,Harlem,Private room,1,Individual,Manhattan | Private room | small,test_20,1,47.71,188.81,-141.1,-0.7473,Below model benchmark
322037,"Luxury Williamsburg, Brooklyn LOFT",https://www.airbnb.com/rooms/322037,Brooklyn,Williamsburg,Entire home/apt,5,Individual,Brooklyn | Entire home/apt | large,test_20,1,301.62,395.86,-94.24,-0.2381,Below model benchmark
198744,Sun-Drenched Lincoln Center Studio,https://www.airbnb.com/rooms/198744,Manhattan,Upper West Side,Entire home/apt,2,Small-Multi,Manhattan | Entire home/apt | small,train_80,5,239.41,291.37,-51.96,-0.1783,Below model benchmark
199733,Solo Travelers Private Garden XL Studio,https://www.airbnb.com/rooms/199733,Brooklyn,Crown Heights,Entire home/apt,2,Small-Multi,Brooklyn | Entire home/apt | small,train_80,2,146.97,156.7,-9.73,-0.0621,Below model benchmark
39282,Cozy “Indie Rock”Room in the Heart of Williamsburg,https://www.airbnb.com/rooms/39282,Brooklyn,Williamsburg,Private room,2,Small-Multi,Brooklyn | Private room | small,train_80,3,253.75,114.2,139.55,1.2221,Above model benchmark
333323,Cozy bedroom near Times Square,https://www.airbnb.com/rooms/333323,Manhattan,Hell's Kitchen,Private room,1,Small-Multi,Manhattan | Private room | small,train_80,2,85.54,150.12,-64.58,-0.4302,Below model benchmark
343276,Large Private Midtown Room!,https://www.airbnb.com/rooms/343276,Manhattan,Hell's Kitchen,Private room,2,Individual,Manhattan | Private room | small,train_80,5,200.0,307.71,-107.71,-0.35,Below model benchmark
213330,Master Bedroom - Unbelievably RARE Penthouse Oasis,https://www.airbnb.com/rooms/213330,Manhattan,Chinatown,Private room,2,Individual,Manhattan | Private room | small,train_80,2,296.0,252.71,43.29,0.1713,Above model benchmark
217580,Long term fully furnished apartment.,https://www.airbnb.com/rooms/217580,Brooklyn,Fort Hamilton,Entire home/apt,1,Individual,Brooklyn | Entire home/apt | small,train_80,4,109.13,150.95,-41.82,-0.2771,Below model benchmark
45936,Couldn't Be Closer To Columbia Uni,https://www.airbnb.com/rooms/45936,Manhattan,Morningside Heights,Private room,2,Small-Multi,Manhattan | Private room | small,train_80,4,65.36,133.52,-68.16,-0.5105,Below model benchmark
373618,"Designer’s loft, roof deck best W’burg",https://www.airbnb.com/rooms/373618,Brooklyn,Williamsburg,Private room,2,Small-Multi,Brooklyn | Private room | small,train_80,2,413.0,202.76,210.24,1.0369,Above model benchmark
46911,Large Room pr/h Br/St in Park Slope,https://www.airbnb.com/rooms/46911,Brooklyn,Park Slope,Private room,2,Small-Multi,Brooklyn | Private room | small,train_80,2,102.24,103.29,-1.05,-0.0101,Below model benchmark
223930,Lovely Apartment,https://www.airbnb.com/rooms/223930,Brooklyn,Prospect Heights,Entire home/apt,2,Individual,Brooklyn | Entire home/apt | small,train_80,2,119.3,199.28,-79.98,-0.4014,Below model benchmark
225976,Cozy multi-leveled apartment!,https://www.airbnb.com/rooms/225976,Staten Island,Shore Acres,Entire home/apt,3,Individual,Staten Island | Entire home/apt | medium,train_80,3,71.49,147.76,-76.27,-0.5162,Below model benchmark
226021,Sunny 2 bdrm W'burg Duplex w/ 3 beds. 5* superhost,https://www.airbnb.com/rooms/226021,Brooklyn,Williamsburg,Entire home/apt,5,Small-Multi,Brooklyn | Entire home/apt | large,train_80,5,218.5,285.96,-67.46,-0.2359,Below model benchmark
227495,Great studio apt near Central Park,https://www.airbnb.com/rooms/227495,Manhattan,Upper West Side,Entire home/apt,2,Individual,Manhattan | Entire home/apt | small,train_80,2,173.95,211.07,-37.12,-0.1758,Below model benchmark
52689,"Private, sunny two-bedroom near subway & shops",https://www.airbnb.com/rooms/52689,Queens,Ditmars Steinway,Private room,2,Individual,Queens | Private room | small,train_80,5,291.0,177.5,113.5,0.6395,Above model benchmark
386744,Great room priv/bathrm Eastside location 70's ST,https://www.airbnb.com/rooms/386744,Manhattan,Upper East Side,Private room,1,Individual,Manhattan | Private room | small,train_80,3,88.13,172.78,-84.65,-0.4899,Below model benchmark
387666,Historic townhouse in convenient location,https://www.airbnb.com/rooms/387666,Manhattan,Washington Heights,Private room,2,Individual,Manhattan | Private room | small,test_20,1,55.86,267.89,-212.03,-0.7915,Below model benchmark
230877,Monthly Apartment Rental,https://www.airbnb.com/rooms/230877,Manhattan,East Harlem,Entire home/apt,2,Small-Multi,Manhattan | Entire home/apt | small,train_80,5,164.1,237.51,-73.41,-0.3091,Below model benchmark
232612,"Lovely pied-à-terre, in an historic building",https://www.airbnb.com/rooms/232612,Brooklyn,Bedford-Stuyvesant,Private room,2,Individual,Brooklyn | Private room | small,train_80,4,181.26,214.84,-33.58,-0.1563,Below model benchmark
54508,S/Rm Br/st  PSlope great for  Med/Stu,https://www.airbnb.com/rooms/54508,Brooklyn,Park Slope,Private room,2,Small-Multi,Brooklyn | Private room | small,train_80,2,149.0,153.76,-4.76,-0.031,Below model benchmark
54860,Bedroom in my apartment with a private bathroom.,https://www.airbnb.com/rooms/54860,Manhattan,East Harlem,Private room,2,Individual,Manhattan | Private room | small,test_20,1,89.88,245.86,-155.98,-0.6344,Below model benchmark
55959,Work From Our Home w/ Loft,https://www.airbnb.com/rooms/55959,Brooklyn,Williamsburg,Private room,1,Small-Multi,Brooklyn | Private room | small,train_80,2,238.25,110.38,127.87,1.1584,Above model benchmark
56859,City Room - Private & Comfy Bedroom,https://www.airbnb.com/rooms/56859,Manhattan,Harlem,Private room,2,Small-Multi,Manhattan | Private room | small,train_80,3,113.4,183.15,-69.75,-0.3808,Below model benchmark
57166,Elegant NYC Pad,https://www.airbnb.com/rooms/57166,Queens,Ditmars Steinway,Entire home/apt,3,Individual,Queens | Entire home/apt | medium,train_80,3,141.67,227.33,-85.66,-0.3768,Below model benchmark
235951,Stylish Studio with exclusive Terrace,https://www.airbnb.com/rooms/235951,Manhattan,Midtown,Entire home/apt,2,Individual,Manhattan | Entire home/apt | small,train_80,2,141.45,251.35,-109.9,-0.4372,Below model benchmark
235960,"LES private 1 bd apt, walk to *everthing*",https://www.airbnb.com/rooms/235960,Manhattan,Lower East Side,Entire home/apt,2,Individual,Manhattan | Entire home/apt | small,train_80,3,171.83,238.79,-66.96,-0.2804,Below model benchmark
408983,Brownstone full floor 900sft. Dog and Pet Friendly,https://www.airbnb.com/rooms/408983,Brooklyn,Prospect-Lefferts Gardens,Entire home/apt,4,Individual,Brooklyn | Entire home/apt | medium,train_80,3,297.93,272.76,25.17,0.0923,Above model benchmark
409262,Sunlit 2BR Townhouse Floor+Terrace | Prime BoCoCa,https://www.airbnb.com/rooms/409262,Brooklyn,Boerum Hill,Entire home/apt,5,Small-Multi,Brooklyn | Entire home/apt | large,train_80,2,472.23,277.02,195.21,0.7047,Above model benchmark
411918,"Apartment in Crown Heights, BKLYN",https://www.airbnb.com/rooms/411918,Brooklyn,Crown Heights,Entire home/apt,6,Small-Multi,Brooklyn | Entire home/apt | large,test_20,1,128.13,374.4,-246.27,-0.6578,Below model benchmark
57874,The Brownstone-Luxury 1 Bd Apt/NYC,https://www.airbnb.com/rooms/57874,Manhattan,East Harlem,Entire home/apt,2,Small-Multi,Manhattan | Entire home/apt | small,train_80,5,146.93,223.71,-76.78,-0.3432,Below model benchmark
245574,Brooklyn Brownstone home share,https://www.airbnb.com/rooms/245574,Brooklyn,Bedford-Stuyvesant,Private room,2,Individual,Brooklyn | Private room | small,train_80,3,354.0,134.64,219.36,1.6292,Above model benchmark
249704,"Sunny, spacious, Brooklyn apt w/ washer/dryer",https://www.airbnb.com/rooms/249704,Brooklyn,Williamsburg,Entire home/apt,2,Individual,Brooklyn | Entire home/apt | small,train_80,2,149.87,205.96,-56.09,-0.2723,Below model benchmark
58059,Traveling Nurses and Medical Professionals,https://www.airbnb.com/rooms/58059,Manhattan,Harlem,Private room,2,Small-Multi,Manhattan | Private room | small,test_20,1,50.56,237.66,-187.1,-0.7873,Below model benchmark
59014,"Spacious 1BR, Clean, Quiet—Pls write b4 booking",https://www.airbnb.com/rooms/59014,Manhattan,Lower East Side,Entire home/apt,2,Individual,Manhattan | Entire home/apt | small,test_20,1,116.89,205.43,-88.54,-0.431,Below model benchmark
60611,SpaHa Studio Monthly Rental,https://www.airbnb.com/rooms/60611,Manhattan,East Harlem,Entire home/apt,2,Small-Multi,Manhattan | Entire home/apt | small,train_80,5,142.9,243.19,-100.29,-0.4124,Below model benchmark
417685,Bright and Quiet 2 BR in Park Slope,https://www.airbnb.com/rooms/417685,Brooklyn,South Slope,Entire home/apt,4,Individual,Brooklyn | Entire home/apt | medium,test_20,1,158.57,334.67,-176.1,-0.5262,Below model benchmark
424767,"Spacious, Furnished Unit with Private Backyard",https://www.airbnb.com/rooms/424767,Manhattan,Midtown,Entire home/apt,4,Individual,Manhattan | Entire home/apt | medium,test_20,1,231.51,463.56,-232.05,-0.5006,Below model benchmark
431865,Elegant Uptown Historic District Garden Suite,https://www.airbnb.com/rooms/431865,Manhattan,Washington Heights,Entire home/apt,2,Individual,Manhattan | Entire home/apt | small,train_80,4,480.75,330.23,150.52,0.4558,Above model benchmark
433414,Spacious & Sunny in Prime Brooklyn,https://www.airbnb.com/rooms/433414,Brooklyn,Clinton Hill,Entire home/apt,2,Individual,Brooklyn | Entire home/apt | small,train_80,5,146.38,199.53,-53.15,-0.2664,Below model benchmark
253332,"Spacious, modern private suite in large apartment",https://www.airbnb.com/rooms/253332,Brooklyn,Sunset Park,Private room,2,Individual,Brooklyn | Private room | small,test_20,1,279.67,162.94,116.73,0.7164,Above model benchmark
253475,Loft Suite,https://www.airbnb.com/rooms/253475,Brooklyn,Greenpoint,Entire home/apt,4,Enterprise,Brooklyn | Entire home/apt | medium,train_80,2,752.04,231.48,520.56,2.2488,Above model benchmark
253800,Loft Suite,https://www.airbnb.com/rooms/253800,Brooklyn,Greenpoint,Entire home/apt,4,Enterprise,Brooklyn | Entire home/apt | medium,test_20,1,752.04,247.16,504.88,2.0427,Above model benchmark
60666,City Room - Private Luxury Suite,https://www.airbnb.com/rooms/60666,Manhattan,Harlem,Private room,2,Small-Multi,Manhattan | Private room | small,train_80,2,100.13,173.99,-73.86,-0.4245,Below model benchmark
437352,Lovely 2 BR in Brooklyn's Nicest Area,https://www.airbnb.com/rooms/437352,Brooklyn,South Slope,Entire home/apt,3,Individual,Brooklyn | Entire home/apt | medium,test_20,1,57.79,250.06,-192.27,-0.7689,Below model benchmark
253839,Loft w/ Terrace @ Box House Hotel,https://www.airbnb.com/rooms/253839,Brooklyn,Greenpoint,Private room,4,Enterprise,Brooklyn | Private room | medium,train_80,2,479.0,223.0,256.0,1.148,Above model benchmark
253846,Superior @ Box House,https://www.airbnb.com/rooms/253846,Brooklyn,Greenpoint,Hotel room,2,Enterprise,Brooklyn | Hotel room | small,train_80,5,564.0,230.09,333.91,1.4512,Above model benchmark
255476,"Vegan Share in Huge, Gorgeous Prime Wburg!",https://www.airbnb.com/rooms/255476,Brooklyn,Williamsburg,Private room,1,Small-Multi,Brooklyn | Private room | small,test_20,1,102.9,142.38,-39.48,-0.2773,Below model benchmark
62925,Beautiful Landmarked Duplex,https://www.airbnb.com/rooms/62925,Brooklyn,Greenpoint,Entire home/apt,4,Small-Multi,Brooklyn | Entire home/apt | medium,test_20,1,320.8,273.55,47.25,0.1727,Above model benchmark
64365,Crown Heights Garden Apt.,https://www.airbnb.com/rooms/64365,Brooklyn,Crown Heights,Private room,2,Small-Multi,Brooklyn | Private room | small,test_20,1,61.12,118.34,-57.22,-0.4835,Below model benchmark
66251,East Village Loft with Piano & Patio,https://www.airbnb.com/rooms/66251,Manhattan,East Village,Entire home/apt,2,Individual,Manhattan | Entire home/apt | small,train_80,3,196.83,330.15,-133.32,-0.4038,Below model benchmark
66974,"Lovely, Modern, Garden Apartment",https://www.airbnb.com/rooms/66974,Brooklyn,Gowanus,Entire home/apt,2,Small-Multi,Brooklyn | Entire home/apt | small,train_80,2,193.51,178.2,15.31,0.0859,Above model benchmark
453094,Bedroom With Own Bathroom and Backyard,https://www.airbnb.com/rooms/453094,Brooklyn,Clinton Hill,Private room,2,Small-Multi,Brooklyn | Private room | small,test_20,1,148.5,92.83,55.67,0.5997,Above model benchmark
67299,Cozy Garden Apartment  in Williamsburg,https://www.airbnb.com/rooms/67299,Brooklyn,Williamsburg,Entire home/apt,4,Individual,Brooklyn | Entire home/apt | medium,train_80,3,194.67,316.0,-121.33,-0.384,Below model benchmark
466277,Classic Williamsburg 2bdr with yard and W/D.,https://www.airbnb.com/rooms/466277,Brooklyn,Williamsburg,Entire home/apt,5,Small-Multi,Brooklyn | Entire home/apt | large,train_80,3,219.23,321.95,-102.72,-0.3191,Below model benchmark
476983,Perfect for Traveling Medical Professionals,https://www.airbnb.com/rooms/476983,Manhattan,Harlem,Private room,2,Small-Multi,Manhattan | Private room | small,train_80,3,51.33,182.76,-131.43,-0.7191,Below model benchmark
255601,Cozy Modern 2 Bedroom Apartment 20 min from City,https://www.airbnb.com/rooms/255601,Brooklyn,Bedford-Stuyvesant,Entire home/apt,2,Individual,Brooklyn | Entire home/apt | small,train_80,4,318.33,184.58,133.75,0.7246,Above model benchmark
255957,Stunning NYC Views! Free Gym! Doorman! Terrace!,https://www.airbnb.com/rooms/255957,Manhattan,Nolita,Entire home/apt,4,Small-Multi,Manhattan | Entire home/apt | medium,train_80,5,558.47,302.77,255.7,0.8446,Above model benchmark
257097,Sunny! 2br Steps to A/C train 15 to Manhattan,https://www.airbnb.com/rooms/257097,Brooklyn,Bedford-Stuyvesant,Entire home/apt,2,Individual,Brooklyn | Entire home/apt | small,train_80,5,78.83,238.48,-159.65,-0.6694,Below model benchmark
68735,Prewar Penthouse w Private Terrace,https://www.airbnb.com/rooms/68735,Manhattan,Upper West Side,Entire home/apt,2,Individual,Manhattan | Entire home/apt | small,train_80,2,201.25,240.33,-39.08,-0.1626,Below model benchmark
